"text-xl","text-gray-600"
"Agility Story","Pattern ID: agility_story"
"Ai","Pattern ID: ai"
"Analyze Answers","Pattern ID: analyze_answers"
"Analyze Candidates","Pattern ID: analyze_candidates"
"Analyze Cfp Submission","Pattern ID: analyze_cfp_submission"
"Analyze Claims","Pattern ID: analyze_claims"
"Analyze Comments","Pattern ID: analyze_comments"
"Analyze Debate","Pattern ID: analyze_debate"
"Analyze Email Headers","Pattern ID: analyze_email_headers"
"Analyze Incident","Pattern ID: analyze_incident"
"Analyze Interviewer Techniques","Pattern ID: analyze_interviewer_techniques"
"Analyze Logs","Pattern ID: analyze_logs"
"Analyze Malware","Pattern ID: analyze_malware"
"Analyze Military Strategy","Pattern ID: analyze_military_strategy"
"Analyze Mistakes","Pattern ID: analyze_mistakes"
"Analyze Paper","Pattern ID: analyze_paper"
"Analyze Patent","Pattern ID: analyze_patent"
"Analyze Personality","Pattern ID: analyze_personality"
"Analyze Presentation","Pattern ID: analyze_presentation"
"Analyze Product Feedback","Pattern ID: analyze_product_feedback"
"Analyze Proposition","Pattern ID: analyze_proposition"
"Analyze Prose","Pattern ID: analyze_prose"
"Analyze Prose Json","Pattern ID: analyze_prose_json"
"Analyze Prose Pinker","Pattern ID: analyze_prose_pinker"
"Analyze Risk","Pattern ID: analyze_risk"
"Analyze Sales Call","Pattern ID: analyze_sales_call"
"Analyze Spiritual Text","Pattern ID: analyze_spiritual_text"
"Analyze Tech Impact","Pattern ID: analyze_tech_impact"
"Analyze Threat Report","Pattern ID: analyze_threat_report"
"Analyze Threat Report Cmds","Pattern ID: analyze_threat_report_cmds"
"Analyze Threat Report Trends","Pattern ID: analyze_threat_report_trends"
"Answer Interview Question","Pattern ID: answer_interview_question"
"Ask Secure By Design Questions","Pattern ID: ask_secure_by_design_questions"
"Ask Uncle Duke","Pattern ID: ask_uncle_duke"
"Capture Thinkers Work","Pattern ID: capture_thinkers_work"
"Check Agreement","Pattern ID: check_agreement"
"Clean Text","Pattern ID: clean_text"
"Coding Master","Pattern ID: coding_master"
"Compare And Contrast","Pattern ID: compare_and_contrast"
"Convert To Markdown","Pattern ID: convert_to_markdown"
"Create 5 Sentence Summary","Pattern ID: create_5_sentence_summary"
"Create Academic Paper","Pattern ID: create_academic_paper"
"Create Ai Jobs Analysis","Pattern ID: create_ai_jobs_analysis"
"Create Aphorisms","Pattern ID: create_aphorisms"
"Create Art Prompt","Pattern ID: create_art_prompt"
"Create Better Frame","Pattern ID: create_better_frame"
"Create Coding Project","Pattern ID: create_coding_project"
"Create Command","Pattern ID: create_command"
"Create Cyber Summary","Pattern ID: create_cyber_summary"
"Create Design Document","Pattern ID: create_design_document"
"Create Diy","Pattern ID: create_diy"
"Create Formal Email","Pattern ID: create_formal_email"
"Create Git Diff Commit","Pattern ID: create_git_diff_commit"
"Create Graph From Input","Pattern ID: create_graph_from_input"
"Create Hormozi Offer","Pattern ID: create_hormozi_offer"
"Create Idea Compass","Pattern ID: create_idea_compass"
"Create Investigation Visualization","Pattern ID: create_investigation_visualization"
"Create Keynote","Pattern ID: create_keynote"
"Create Logo","Pattern ID: create_logo"
"Create Markmap Visualization","Pattern ID: create_markmap_visualization"
"Create Mermaid Visualization","Pattern ID: create_mermaid_visualization"
"Create Mermaid Visualization For Github","Pattern ID: create_mermaid_visualization_for_github"
"Create Micro Summary","Pattern ID: create_micro_summary"
"Create Network Threat Landscape","Pattern ID: create_network_threat_landscape"
"Create Newsletter Entry","Pattern ID: create_newsletter_entry"
"Create Npc","Pattern ID: create_npc"
"Create Pattern","Pattern ID: create_pattern"
"Create Prd","Pattern ID: create_prd"
"Create Prediction Block","Pattern ID: create_prediction_block"
"Create Quiz","Pattern ID: create_quiz"
"Create Reading Plan","Pattern ID: create_reading_plan"
"Create Recursive Outline","Pattern ID: create_recursive_outline"
"Create Report Finding","Pattern ID: create_report_finding"
"Create Rpg Summary","Pattern ID: create_rpg_summary"
"Create Security Update","Pattern ID: create_security_update"
"Create Show Intro","Pattern ID: create_show_intro"
"Create Sigma Rules","Pattern ID: create_sigma_rules"
"Create Story Explanation","Pattern ID: create_story_explanation"
"Create Stride Threat Model","Pattern ID: create_stride_threat_model"
"Create Summary","Pattern ID: create_summary"
"Create Tags","Pattern ID: create_tags"
"Create Threat Scenarios","Pattern ID: create_threat_scenarios"
"Create Ttrc Graph","Pattern ID: create_ttrc_graph"
"Create Ttrc Narrative","Pattern ID: create_ttrc_narrative"
"Create Upgrade Pack","Pattern ID: create_upgrade_pack"
"Create User Story","Pattern ID: create_user_story"
"Create Video Chapters","Pattern ID: create_video_chapters"
"Create Visualization","Pattern ID: create_visualization"
"Dialog With Socrates","Pattern ID: dialog_with_socrates"
"Enrich Blog Post","Pattern ID: enrich_blog_post"
"Explain Code","Pattern ID: explain_code"
"Explain Docs","Pattern ID: explain_docs"
"Explain Math","Pattern ID: explain_math"
"Explain Project","Pattern ID: explain_project"
"Explain Terms","Pattern ID: explain_terms"
"Export Data As Csv","Pattern ID: export_data_as_csv"
"Extract Algorithm Update Recommendations","Pattern ID: extract_algorithm_update_recommendations"
"Extract Article Wisdom","Pattern ID: extract_article_wisdom"
"Extract Book Ideas","Pattern ID: extract_book_ideas"
"Extract Book Recommendations","Pattern ID: extract_book_recommendations"
"Extract Business Ideas","Pattern ID: extract_business_ideas"
"Extract Controversial Ideas","Pattern ID: extract_controversial_ideas"
"Extract Core Message","Pattern ID: extract_core_message"
"Extract Ctf Writeup","Pattern ID: extract_ctf_writeup"
"Extract Extraordinary Claims","Pattern ID: extract_extraordinary_claims"
"Extract Ideas","Pattern ID: extract_ideas"
"Extract Insights","Pattern ID: extract_insights"
"Extract Insights Dm","Pattern ID: extract_insights_dm"
"Extract Instructions","Pattern ID: extract_instructions"
"Extract Jokes","Pattern ID: extract_jokes"
"Extract Latest Video","Pattern ID: extract_latest_video"
"Extract Main Idea","Pattern ID: extract_main_idea"
"Extract Most Redeeming Thing","Pattern ID: extract_most_redeeming_thing"
"Extract Patterns","Pattern ID: extract_patterns"
"Extract Poc","Pattern ID: extract_poc"
"Extract Predictions","Pattern ID: extract_predictions"
"Extract Primary Problem","Pattern ID: extract_primary_problem"
"Extract Primary Solution","Pattern ID: extract_primary_solution"
"Extract Product Features","Pattern ID: extract_product_features"
"Extract Questions","Pattern ID: extract_questions"
"Extract Recipe","Pattern ID: extract_recipe"
"Extract Recommendations","Pattern ID: extract_recommendations"
"Extract References","Pattern ID: extract_references"
"Extract Skills","Pattern ID: extract_skills"
"Extract Song Meaning","Pattern ID: extract_song_meaning"
"Extract Sponsors","Pattern ID: extract_sponsors"
"Extract Videoid","Pattern ID: extract_videoid"
"Extract Wisdom","Pattern ID: extract_wisdom"
"Extract Wisdom Agents","Pattern ID: extract_wisdom_agents"
"Extract Wisdom Dm","Pattern ID: extract_wisdom_dm"
"Extract Wisdom Nometa","Pattern ID: extract_wisdom_nometa"
"Find Hidden Message","Pattern ID: find_hidden_message"
"Find Logical Fallacies","Pattern ID: find_logical_fallacies"
"Get Wow Per Minute","Pattern ID: get_wow_per_minute"
"Get Youtube Rss","Pattern ID: get_youtube_rss"
"Humanize","Pattern ID: humanize"
"Identify Dsrp Distinctions","Pattern ID: identify_dsrp_distinctions"
"Identify Dsrp Perspectives","Pattern ID: identify_dsrp_perspectives"
"Identify Dsrp Relationships","Pattern ID: identify_dsrp_relationships"
"Identify Dsrp Systems","Pattern ID: identify_dsrp_systems"
"Identify Job Stories","Pattern ID: identify_job_stories"
"Improve Academic Writing","Pattern ID: improve_academic_writing"
"Improve Prompt","Pattern ID: improve_prompt"
"Improve Report Finding","Pattern ID: improve_report_finding"
"Improve Writing","Pattern ID: improve_writing"
"Judge Output","Pattern ID: judge_output"
"Label And Rate","Pattern ID: label_and_rate"
"Md Callout","Pattern ID: md_callout"
"Official Pattern Template","Pattern ID: official_pattern_template"
"Prepare 7s Strategy","Pattern ID: prepare_7s_strategy"
"Provide Guidance","Pattern ID: provide_guidance"
"Rate Ai Response","Pattern ID: rate_ai_response"
"Rate Ai Result","Pattern ID: rate_ai_result"
"Rate Content","Pattern ID: rate_content"
"Rate Value","Pattern ID: rate_value"
"Raw Query","Pattern ID: raw_query"
"Raycast","Pattern ID: raycast"
"Recommend Artists","Pattern ID: recommend_artists"
"Recommend Pipeline Upgrades","Pattern ID: recommend_pipeline_upgrades"
"Recommend Talkpanel Topics","Pattern ID: recommend_talkpanel_topics"
"Refine Design Document","Pattern ID: refine_design_document"
"Review Design","Pattern ID: review_design"
"Sanitize Broken Html To Markdown","Pattern ID: sanitize_broken_html_to_markdown"
"Show Fabric Options Markmap","Pattern ID: show_fabric_options_markmap"
"Solve With Cot","Pattern ID: solve_with_cot"
"Suggest Pattern","Pattern ID: suggest_pattern"
"Summarize","Pattern ID: summarize"
"Summarize Debate","Pattern ID: summarize_debate"
"Summarize Git Changes","Pattern ID: summarize_git_changes"
"Summarize Git Diff","Pattern ID: summarize_git_diff"
"Summarize Lecture","Pattern ID: summarize_lecture"
"Summarize Legislation","Pattern ID: summarize_legislation"
"Summarize Meeting","Pattern ID: summarize_meeting"
"Summarize Micro","Pattern ID: summarize_micro"
"Summarize Newsletter","Pattern ID: summarize_newsletter"
"Summarize Paper","Pattern ID: summarize_paper"
"Summarize Prompt","Pattern ID: summarize_prompt"
"Summarize Pull-requests","Pattern ID: summarize_pull-requests"
"Summarize Rpg Session","Pattern ID: summarize_rpg_session"
"To Flashcards","Pattern ID: to_flashcards"
"Transcribe Minutes","Pattern ID: transcribe_minutes"
"Translate","Pattern ID: translate"
"Tweet","Pattern ID: tweet"
"Write Essay","Pattern ID: write_essay"
"Write Hackerone Report","Pattern ID: write_hackerone_report"
"Write Latex","Pattern ID: write_latex"
"Write Micro Essay","Pattern ID: write_micro_essay"
"Write Nuclei Template Rule","Pattern ID: write_nuclei_template_rule"
"Write Pull-request","Pattern ID: write_pull-request"
"Write Semgrep Rule","Pattern ID: write_semgrep_rule"